id,host_name,booked_out30,Monthly_Rev
3759486,Jill,30,750000
13778641,Crystal,30,112020
5259188,Gabrielle,20,76000
13369773,Kyron,30,69000
11990864,Wyatt,19,67925
4670769,Betina,30,64500
35034940,Joseph,29,63800
35037446,"Maui Paradise Properties,",30,63000
12540521,"Gina (& Kim)",26,61308
4575942,Kyron,30,60750
34939765,Joseph,24,60000
6820221,Jacklynn,30,60000
376440,Ron,29,55506
13098377,Kathy,30,55500
9896099,Laura,30,55500
12730370,"Gina (& Kim)",30,52380
5020849,Miles,21,50295
13080836,Kathy,30,48000
1882019,Hale,30,47130
2694000,Donna,26,46800
4898897,Crystal,30,45870
12606306,"Angela & Michael",30,44850
13222911,Wyatt,19,44403
10317142,Noah,30,43500
14968206,"Maui Resort Rentals",30,42840
529551,Kauaâ€™i,30,42660
4445331,Lisa,24,40200
14935194,"Maui Resort Rentals",30,39600
9669808,"Elite Pacific By Gather",30,39360
12868002,"Gina (& Kim)",24,39336
14028842,Catherine,27,39150
5241712,Crystal,30,39000
2454425,Sherry,24,38400
12871250,"Gina (& Kim)",23,37720
5241814,Erin,30,37500
889489,"House Of Dreams Kauai",29,36250
10453300,Michelle,30,35850
8883280,"Hawaiian Heavenly Waters",21,35700
14965975,"Maui Resort Rentals",30,35370
14252298,"Whalers Investment Group,",29,35090
